year,round,race_name,driver,stop_number,lap,duration
2025,21,São Paulo Grand Prix,colapinto,1,29,23.710
2025,21,São Paulo Grand Prix,stroll,1,29,23.760
2025,21,São Paulo Grand Prix,norris,1,30,23.490
2025,21,São Paulo Grand Prix,hamilton,3,32,30.752
2025,21,São Paulo Grand Prix,russell,1,34,23.358
2025,21,São Paulo Grand Prix,max_verstappen,2,34,23.058
2025,21,São Paulo Grand Prix,albon,1,35,23.061
2025,21,São Paulo Grand Prix,hulkenberg,1,36,23.086
2025,21,São Paulo Grand Prix,hadjar,2,37,23.460
2025,21,São Paulo Grand Prix,piastri,1,38,34.644
2025,21,São Paulo Grand Prix,sainz,2,38,23.234
2025,21,São Paulo Grand Prix,gasly,2,39,23.648
2025,21,São Paulo Grand Prix,bearman,2,42,24.654
2025,21,São Paulo Grand Prix,colapinto,2,43,26.124
2025,21,São Paulo Grand Prix,alonso,2,46,23.563
2025,21,São Paulo Grand Prix,antonelli,2,47,23.401
2025,21,São Paulo Grand Prix,ocon,2,47,24.177
2025,22,Las Vegas Grand Prix,tsunoda,1,1,21.383
2025,22,Las Vegas Grand Prix,bortoleto,1,1,33.230
2025,22,Las Vegas Grand Prix,antonelli,1,2,21.968
2025,22,Las Vegas Grand Prix,lawson,1,2,32.736
2025,22,Las Vegas Grand Prix,gasly,1,2,23.903
2025,22,Las Vegas Grand Prix,albon,1,13,23.361
2025,22,Las Vegas Grand Prix,albon,2,14,30.065
2025,22,Las Vegas Grand Prix,alonso,1,16,21.068
2025,22,Las Vegas Grand Prix,russell,1,17,20.929
2025,22,Las Vegas Grand Prix,bearman,1,17,21.491
2025,22,Las Vegas Grand Prix,hadjar,1,20,21.324
2025,22,Las Vegas Grand Prix,piastri,1,21,21.371
2025,22,Las Vegas Grand Prix,norris,1,22,21.049
2025,22,Las Vegas Grand Prix,sainz,1,22,21.164
2025,22,Las Vegas Grand Prix,leclerc,1,24,21.351
2025,22,Las Vegas Grand Prix,max_verstappen,1,25,21.708
2025,22,Las Vegas Grand Prix,colapinto,1,25,22.842
2025,22,Las Vegas Grand Prix,ocon,1,27,22.389
2025,22,Las Vegas Grand Prix,tsunoda,2,27,20.680
2025,22,Las Vegas Grand Prix,lawson,2,28,21.287
2025,22,Las Vegas Grand Prix,hamilton,1,29,21.638
2025,22,Las Vegas Grand Prix,hulkenberg,1,30,22.333
2025,22,Las Vegas Grand Prix,albon,3,34,29.308
2025,23,Qatar Grand Prix,max_verstappen,1,7,29.970
2025,23,Qatar Grand Prix,antonelli,1,7,32.002
2025,23,Qatar Grand Prix,sainz,1,7,28.560
2025,23,Qatar Grand Prix,alonso,1,7,28.288
2025,23,Qatar Grand Prix,russell,1,7,33.241
2025,23,Qatar Grand Prix,hadjar,1,7,28.815
2025,23,Qatar Grand Prix,leclerc,1,7,30.395
2025,23,Qatar Grand Prix,bearman,1,7,28.837
2025,23,Qatar Grand Prix,lawson,1,7,28.993
2025,23,Qatar Grand Prix,hamilton,1,7,32.166
2025,23,Qatar Grand Prix,tsunoda,1,7,29.188
2025,23,Qatar Grand Prix,albon,1,7,28.890
2025,23,Qatar Grand Prix,bortoleto,1,7,28.471
2025,23,Qatar Grand Prix,stroll,1,7,28.124
2025,23,Qatar Grand Prix,colapinto,1,7,29.538
2025,23,Qatar Grand Prix,gasly,1,7,31.343
2025,23,Qatar Grand Prix,ocon,1,8,34.006
2025,23,Qatar Grand Prix,ocon,2,9,34.540
2025,23,Qatar Grand Prix,piastri,1,24,29.047
2025,23,Qatar Grand Prix,stroll,2,24,28.064
2025,23,Qatar Grand Prix,norris,1,25,27.938
2025,23,Qatar Grand Prix,max_verstappen,2,32,28.168
2025,23,Qatar Grand Prix,sainz,2,32,28.181
2025,23,Qatar Grand Prix,antonelli,2,32,28.544
2025,23,Qatar Grand Prix,alonso,2,32,28.935
2025,23,Qatar Grand Prix,hadjar,2,32,27.931
2025,23,Qatar Grand Prix,russell,2,32,29.077
2025,23,Qatar Grand Prix,leclerc,2,32,28.999
2025,23,Qatar Grand Prix,bearman,2,32,45.232
2025,23,Qatar Grand Prix,lawson,2,32,28.078
2025,24,Abu Dhabi Grand Prix,hulkenberg,1,7,21.619
2025,24,Abu Dhabi Grand Prix,hamilton,1,8,21.601
2025,24,Abu Dhabi Grand Prix,albon,1,8,21.551
2025,24,Abu Dhabi Grand Prix,gasly,1,13,22.585
2025,24,Abu Dhabi Grand Prix,russell,1,14,21.979
2025,24,Abu Dhabi Grand Prix,hadjar,1,14,21.932
2025,24,Abu Dhabi Grand Prix,bearman,1,14,22.263
2025,24,Abu Dhabi Grand Prix,bortoleto,1,15,22.121
2025,24,Abu Dhabi Grand Prix,colapinto,1,15,21.953
2025,24,Abu Dhabi Grand Prix,norris,1,16,21.323
2025,24,Abu Dhabi Grand Prix,leclerc,1,16,21.692
2025,24,Abu Dhabi Grand Prix,alonso,1,16,23.267
2025,24,Abu Dhabi Grand Prix,sainz,1,18,21.799
2025,24,Abu Dhabi Grand Prix,ocon,1,19,22.254
2025,24,Abu Dhabi Grand Prix,lawson,1,21,28.369
2025,24,Abu Dhabi Grand Prix,max_verstappen,1,23,21.703
2025,24,Abu Dhabi Grand Prix,hamilton,2,31,21.417
2025,24,Abu Dhabi Grand Prix,tsunoda,1,32,27.041
2025,24,Abu Dhabi Grand Prix,antonelli,1,32,22.155
2025,24,Abu Dhabi Grand Prix,albon,2,33,21.495
2025,24,Abu Dhabi Grand Prix,leclerc,2,39,20.902
2025,24,Abu Dhabi Grand Prix,norris,2,40,21.407
2025,24,Abu Dhabi Grand Prix,gasly,2,40,22.234
2025,24,Abu Dhabi Grand Prix,colapinto,2,40,22.955
2025,24,Abu Dhabi Grand Prix,piastri,1,41,21.565
2025,24,Abu Dhabi Grand Prix,stroll,1,42,21.535
2025,24,Abu Dhabi Grand Prix,hulkenberg,2,42,21.468
